"FileName","Coverage","Source","SRR_Illumina","SRR_Nanopore","StrainName","StandardizedName","GeographicOrigin","EcoOrigin","Country","Continent","PositionOnTree","Clade","SubClade"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173063_1.fastq.gz",72.58,"Dudley2019","SRR8173063","","YO814","XTRA_FCR","Nigeria","Unroasted beans, cacao, Nigeria","Nigeria","Africa",1111,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173066_1.fastq.gz",124.71,"Dudley2019","SRR8173066","","YO815","XTRA_FCS","Nigeria","Unroasted beans, cacao, Nigeria","Nigeria","Africa",1684,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173065_1.fastq.gz",70.19,"Dudley2019","SRR8173065","","YO820","XTRA_FCT","Nigeria","Unroasted beans, cacao, Nigeria","Nigeria","Africa",1685,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8172955_1.fastq.gz",78.69,"Dudley2019","SRR8172955","","YO823","XTRA_FCU","Nigeria","Unroasted beans, cacao, Nigeria","Nigeria","Africa",1683,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8172956_1.fastq.gz",43.5,"Dudley2019","SRR8172956","","YO840","XTRA_FCV","Costa Rica","Unroasted beans, cacao, Costa Rica","Costa Rica","North America",1595,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173015_1.fastq.gz",60.18,"Dudley2019","SRR8173015","","YO841","XTRA_FCW","Costa Rica","Unroasted beans, cacao, Costa Rica","Costa Rica","North America",1477,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8173016_1.fastq.gz",50.72,"Dudley2019","SRR8173016","","YO849","XTRA_FCX","Peru","Unroasted beans, cacao, Peru","Peru","South America",1592,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8172959_1.fastq.gz",223.14,"Dudley2019","SRR8172959","","YO870","XTRA_FCY","Haiti","Unroasted beans, cacao, Haiti","Haiti","North America",2145,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR8172960_1.fastq.gz",46.89,"Dudley2019","SRR8172960","","YO874","XTRA_FCZ","Haiti","Unroasted beans, cacao, Haiti","Haiti","North America",1115,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404013_1.fastq.gz",107.32,"Goddard2021","SRR12404013","","ACNCCsf_C6","XTRA_FDA","New Zealand, Awatere","Spontaneous Commercial Ferment","New Zealand","Oceania",238,"1. Wine","1.1 NZ Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404012_1.fastq.gz",101.71,"Goddard2021","SRR12404012","","ACNCRsf_E5","XTRA_FDB","New Zealand, Awatere","Spontaneous Commercial Ferment","New Zealand","Oceania",653,"1. Wine","1.6 Wine 2"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12404001_1.fastq.gz",111.28,"Goddard2021","SRR12404001","","ACNCRsf_G1","XTRA_FDC","New Zealand, Awatere","Spontaneous Commercial Ferment","New Zealand","Oceania",646,"1. Wine","1.6 Wine 2"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403990_1.fastq.gz",141.76,"Goddard2021","SRR12403990","","ACNTFsf_C5","XTRA_FDD","New Zealand, Awatere","Spontaneous Commercial Ferment","New Zealand","Oceania",240,"1. Wine","1.1 NZ Wine 1"
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403979_1.fastq.gz",159.13,"Goddard2021","SRR12403979","","APRFVsf_F12","XTRA_FDE","New Zealand, Awatere","Spontaneous Commercial Ferment","New Zealand","Oceania",204,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403968_1.fastq.gz",162.89,"Goddard2021","SRR12403968","","APRSEsf_D1","XTRA_FDF","New Zealand, Awatere","Spontaneous Commercial Ferment","New Zealand","Oceania",212,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403965_1.fastq.gz",189.61,"Goddard2021","SRR12403965","","APRSEsf_G9","XTRA_FDG","New Zealand, Awatere","Spontaneous Commercial Ferment","New Zealand","Oceania",210,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403964_1.fastq.gz",157.65,"Goddard2021","SRR12403964","","ATOACsf_A9","XTRA_FDH","New Zealand, Awatere","Spontaneous Commercial Ferment","New Zealand","Oceania",226,NA,NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403963_1.fastq.gz",174.52,"Goddard2021","SRR12403963","","CAMBLsf_H9","XTRA_FDI","New Zealand, Central Otago","Spontaneous Commercial Ferment","New Zealand","Oceania",123,"1. Wine",NA
"/ccc/store/cont007/fg0006/fg0006/rawdata/external/2500Sace/NewAdditionnal/SRR12403962_1.fastq.gz",135.94,"Goddard2021","SRR12403962","","CDRDRsf_A10","XTRA_FDJ","New Zealand, Central Otago","Spontaneous Commercial Ferment","New Zealand","Oceania",278,"1. Wine","1.1 NZ Wine 1"
